CAN_ID,p_des,p_act,tff_des,tff_act
0x0001,0,0.00209808,-0.117073,0.189255
0x0001,0.00309961,0.00171661,0.0746914,0.00610542
0x0001,0.0123862,0.000953674,0.628024,-0.00610542
0x0001,0.0278232,0.00171661,1.43449,0.347986
0x0001,0.0493494,0.00782013,2.27786,0.738707
0x0001,0.0768802,0.0242233,2.87675,0.897436
0x0001,0.110307,0.0539789,3.05485,0.750916
0x0001,0.149497,0.0955601,2.8901,0.470085
0x0001,0.194297,0.143625,2.67204,-0.0183144
0x0001,0.244529,0.193217,2.66758,-0.189255
0x0001,0.299995,0.241665,3.01485,-0.250305
0x0001,0.360477,0.290494,3.61667,-0.189255
0x0001,0.425735,0.342374,4.31097,0.189255
0x0001,0.495512,0.401121,4.87061,0.372406
0x0001,0.569533,0.471695,5.00374,0.311356
0x0001,0.647505,0.552186,4.80081,0.201466
0x0001,0.729121,0.636492,4.58544,-0.164835
0x0001,0.814059,0.723469,4.40371,-0.518925
0x0001,0.901984,0.808537,4.49271,-0.653236
0x0001,0.992548,0.891317,4.85461,-0.616606
0x0001,1.08539,0.972954,5.40582,-0.213675
0x0001,1.18016,1.06107,5.70058,-0.0427341
0x0001,1.27646,1.15606,5.697,0.0183144
0x0001,1.37392,1.25334,5.62952,-0.140415
0x0001,1.47217,1.35863,5.15779,-0.470085
0x0001,1.5708,1.46353,4.7288,-0.799755
0x0001,1.66943,1.56195,4.66161,-1.00733
0x0001,1.76767,1.65732,4.74329,-0.982906
0x0001,1.86513,1.74887,4.99517,-0.592186
0x0001,1.96144,1.83928,5.24701,-0.250305
0x0001,2.0562,1.93389,5.17987,-0.286936
0x0001,2.14904,2.03346,4.73064,-0.372406
0x0001,2.23961,2.13264,4.17722,-0.543346
0x0001,2.32753,2.22992,3.58502,-1.23932
0x0001,2.41247,2.31918,3.27562,-1.30037
0x0001,2.49409,2.39891,3.3157,-1.11722
0x0001,2.57206,2.4733,3.4533,-0.885225
0x0001,2.64608,2.54463,3.54391,-0.286936
0x0001,2.71586,2.61521,3.44368,-0.0915756
0x0001,2.78112,2.68883,2.92461,-0.335775
0x0001,2.8416,2.76322,2.10028,-0.604395
0x0001,2.89706,2.83265,1.27682,-1.26374
0x0001,2.9473,2.89101,0.782781,-1.44689
0x0001,2.9921,2.93717,0.671097,-1.11722
0x0001,3.03129,2.97265,0.846924,-0.763126
0x0001,3.06471,3.00202,1.04636,-0.140415
0x0001,3.09224,3.03101,0.942823,0.115995
0x0001,3.11377,3.06191,0.402538,0.0915756
0x0001,3.12921,3.09281,-0.472574,-0.311356
0x0001,3.13849,3.11952,-1.4519,-0.824175
0x0001,3.14159,3.13401,-2.09028,-1.00733
0x0001,3.13849,3.13554,-2.34591,-1.16606
0x0001,3.12921,3.126,-2.32451,-0.787546
0x0001,3.11377,3.10807,-2.17311,-0.335775
0x0001,3.09224,3.08709,-2.18627,0.054945
0x0001,3.06471,3.06573,-2.50846,0.0915756
0x0001,3.03129,3.04322,-3.09104,-0.140415
0x0001,2.9921,3.01804,-3.84158,-0.335775
0x0001,2.9473,2.986,-4.51753,-0.531136
0x0001,2.89706,2.94366,-4.91751,-0.555555
0x0001,2.8416,2.88834,-4.88163,-0.445665
0x0001,2.78112,2.8254,-4.69588,-0.189255
0x0001,2.71586,2.75788,-4.51739,0.250305
0x0001,2.64608,2.69036,-4.58745,0.457876
0x0001,2.57206,2.62551,-5.03991,0.335775
0x0001,2.49409,2.55951,-5.64585,0.00610542
0x0001,2.41247,2.48894,-6.19678,-0.115995
0x0001,2.32753,2.40921,-6.41953,-0.274725
0x0001,2.23961,2.32032,-6.29562,-0.140415
0x0001,2.14905,2.22496,-5.95509,0.164835
0x0001,2.0562,2.13149,-5.84645,0.531136
0x0001,1.96144,2.03422,-5.63033,1.01954
0x0001,1.86513,1.94381,-5.88213,0.714285
0x0001,1.76767,1.85493,-6.283,0.579975
0x0001,1.66943,1.76223,-6.51371,0.262516
0x0001,1.5708,1.66686,-6.61686,0.0671558
0x0001,1.47217,1.56538,-6.37939,0.238094
0x0001,1.37392,1.46048,-5.92894,0.482296
0x0001,1.27646,1.35481,-5.39319,0.873016
0x0001,1.18016,1.25601,-5.17669,1.23932
0x0001,1.08539,1.16217,-5.15217,1.19048
0x0001,0.992547,1.07633,-5.46928,0.787546
0x0001,0.901983,0.99012,-5.6396,0.482296
0x0001,0.81406,0.902761,-5.6008,0.177046
0x0001,0.729122,0.813878,-5.31269,0.225885
0x0001,0.647506,0.722324,-4.69289,0.628815
0x0001,0.569533,0.630388,-3.85134,1.15385
0x0001,0.495512,0.549134,-3.38851,1.37363
0x0001,0.425735,0.475891,-3.13929,1.41026
0x0001,0.360477,0.414092,-3.2801,0.946276
0x0001,0.299995,0.358015,-3.47749,0.518925
0x0001,0.244529,0.30499,-3.56932,0.0793648
0x0001,0.194297,0.24815,-3.1604,0.0427341
0x0001,0.149497,0.189784,-2.3676,0.238094
0x0001,0.110307,0.13447,-1.43655,0.885225
0x0001,0.0768802,0.0886927,-0.720639,1.19048
0x0001,0.0493494,0.0562677,-0.42552,1.10501
0x0001,0.0278233,0.0368128,-0.523874,0.836386
0x0001,0.0123863,0.0249863,-0.71299,0.347986
0x0001,0.00309961,0.015831,-0.712891,-0.0793648
0x0001,0,0.00705719,-0.393791,-0.201466
0x0001,0.00309961,-0.00362396,0.372696,0.0305252
0x0001,0.0123862,-0.0108719,1.28789,0.433455
0x0001,0.0278232,-0.0082016,1.98792,0.641026
0x0001,0.0493494,0.00667572,2.34171,0.763126
0x0001,0.0768802,0.0326166,2.4084,0.604395
0x0001,0.110307,0.0673304,2.30984,0.311356
0x0001,0.149497,0.107004,2.25152,-0.0671558
0x0001,0.194297,0.14744,2.45918,-0.152626
0x0001,0.244529,0.187877,2.96558,0.0427341
0x0001,0.299995,0.229458,3.696,0.054945
0x0001,0.360477,0.278286,4.29788,0.360195
0x0001,0.425735,0.337415,4.58769,0.421246
0x0001,0.495512,0.406844,4.55127,0.250305
0x0001,0.569533,0.483139,4.36516,0.0427341
0x0001,0.647505,0.562867,4.20481,-0.409035
0x0001,0.729121,0.643358,4.20229,-0.604395
0x0001,0.814059,0.72118,4.53142,-0.409035
0x0001,0.901984,0.798619,5.04615,-0.335775
0x0001,0.992548,0.880255,5.47191,0.0305252
0x0001,1.08539,0.966086,5.78902,0.189255
0x0001,1.18016,1.05917,5.80701,0.103785
0x0001,1.27646,1.16178,5.37765,-0.238094
0x0001,1.37392,1.26593,4.92708,-0.518925
0x0001,1.47217,1.36702,4.6895,-1.16606
0x0001,1.5708,1.4662,4.57979,-1.15385
0x0001,1.66943,1.55737,4.91704,-0.750916
0x0001,1.76767,1.6474,5.29678,-0.421246
0x0001,1.86513,1.73934,5.52732,-0.103785
0x0001,1.96144,1.8389,5.2683,-0.115995
0x0001,2.0562,1.94152,4.75415,-0.421246
0x0001,2.14904,2.04452,4.11334,-0.799755
0x0001,2.23961,2.14141,3.68764,-1.38584
0x0001,2.32753,2.23259,3.43602,-1.49573
0x0001,2.41247,2.31231,3.65877,-0.909645
0x0001,2.49409,2.38823,3.9117,-0.677656
0x0001,2.57206,2.46223,4.07065,-0.0671558
0x0001,2.64608,2.54082,3.75677,-0.152626
0x0001,2.71586,2.6236,2.97539,-0.445665
0x0001,2.78112,2.70333,2.11574,-0.873016
0x0001,2.8416,2.77314,1.54684,-1.49573
0x0001,2.89706,2.83226,1.29811,-1.47131
0x0001,2.9473,2.88186,1.29365,-0.995115
0x0001,2.9921,2.92306,1.45868,-0.579975
0x0001,3.03129,2.96273,1.40041,-0.0793648
0x0001,3.06471,3.00202,1.04636,0.0305252
0x0001,3.09224,3.04055,0.410619,-0.299145
0x0001,3.11377,3.07603,-0.385044,-0.689865
0x0001,3.12921,3.10388,-1.08992,-0.909645
0x0001,3.13849,3.1199,-1.47318,-0.873016
0x0001,3.14159,3.12409,-1.53684,-0.677656
0x0001,3.13849,3.12066,-1.51575,-0.409035
0x0001,3.12921,3.11265,-1.5795,-0.115995
0x0001,3.11377,3.10349,-1.91768,-0.0671558
0x0001,3.09224,3.09396,-2.56948,-0.213675
0x0001,3.06471,3.07946,-3.27475,-0.433455
0x0001,3.03129,3.05657,-3.83605,-0.518925
0x0001,2.9921,3.02377,-4.16087,-0.531136
0x0001,2.9473,2.97952,-4.15567,-0.421246
0x0001,2.89706,2.92878,-4.08736,-0.115995
0x0001,2.8416,2.87499,-4.13662,0.177046
0x0001,2.78112,2.81853,-4.31273,0.225885
0x0001,2.71586,2.76322,-4.8154,0.054945
0x0001,2.64608,2.70333,-5.31118,-0.0793648
0x0001,2.57206,2.63848,-5.76364,-0.201466
0x0001,2.49409,2.56561,-5.98642,-0.201466
0x0001,2.41247,2.48398,-5.92007,-0.0183144
0x0001,2.32753,2.39891,-5.84476,0.128204
0x0001,2.23961,2.3085,-5.63575,0.567766
0x0001,2.14905,2.22,-5.67837,0.592186
0x0001,2.0562,2.13111,-5.82516,0.616606
0x0001,1.96144,2.04604,-6.2902,0.238094
0x0001,1.86513,1.95525,-6.52071,0.152626
0x0001,1.76767,1.86217,-6.68744,0.0183144
0x0001,1.66943,1.76413,-6.62014,0.189255
0x0001,1.5708,1.65923,-6.19114,0.372406
0x0001,1.47217,1.55585,-5.84724,0.689865
0x0001,1.37392,1.45476,-5.60965,0.970695
0x0001,1.27646,1.35977,-5.66991,0.909645
0x0001,1.18016,1.26593,-5.73012,0.848597
0x0001,1.08539,1.17399,-5.81204,0.494505
0x0001,0.992547,1.08282,-5.83114,0.396826
0x0001,0.901983,0.99012,-5.6396,0.396826
0x0001,0.81406,0.897802,-5.32409,0.531136
0x0001,0.729122,0.804723,-4.80183,0.775335
0x0001,0.647506,0.714313,-4.24583,1.01954
0x0001,0.569533,0.629244,-3.78748,1.32479
0x0001,0.495512,0.555619,-3.75037,1.03175
0x0001,0.425735,0.487717,-3.79916,0.934067
0x0001,0.360477,0.423629,-3.81225,0.457876
0x0001,0.299995,0.36183,-3.69035,0.250305
0x0001,0.244529,0.300031,-3.29261,0.299145
0x0001,0.194297,0.23785,-2.58568,0.543346
0x0001,0.149497,0.181392,-1.89931,0.982906
0x0001,0.110307,0.132944,-1.35141,1.14164
0x0001,0.0768802,0.0947971,-1.06127,1.08059
0x0001,0.0493494,0.066186,-0.978957,0.799755
0x0001,0.0278233,0.0448236,-0.970881,0.445665
0x0001,0.0123863,0.0272751,-0.840706,0.0915756
0x0001,0.00309961,0.0108719,-0.436173,0.128204
